RTweet_Fvrt,Life_time(days)
10900,0.6825231481
10898,0.6822685185
10895,0.6797800926
10893,0.6781712963
10890,0.6779166667
10889,0.6766666667
10883,0.6759837963
10882,0.6749652778
10877,0.6738541667
10873,0.6727199074
10868,0.6649074074
10864,0.6637037037
10858,0.6488541667
10854,0.6487731481
10853,0.6483333333
10847,0.6409490741
10842,0.6385416667
10837,0.635150463
10835,0.6328935185
10833,0.6321759259
10828,0.6289351852
10826,0.6249305556
10823,0.6244560185
10819,0.6196180556
10816,0.6176736111
10813,0.6173726852
10811,0.6169097222
10808,0.6161921296
10804,0.6122106481
10799,0.6075231481
10795,0.6046180556
10788,0.5912037037
10783,0.5886689815
10776,0.5820833333
10766,0.5690277778
10764,0.5669328704
10762,0.5660532407
1049,0.8277314815
5284,0.1319097222
5281,0.1317939815
5272,0.1314930556
5268,0.1313773148
5264,0.13125
5260,0.1312152778
2844,0.3832291667
2335,0.8913310185
991,0.4860300926
5252,0.1303472222
5250,0.1303240741
5246,0.1302662037
5241,0.1300810185
5237,0.1296064815
1067,0.843900463
989,0.4846296296
5233,0.1293634259
2837,0.3816550926
5229,0.1293287037
8229,0.989375
8227,0.9893634259
1065,0.8433912037
5220,0.1288194444
5217,0.1286111111
5210,0.1281018519
5204,0.1278356481
5201,0.127662037
2331,0.8876388889
2328,0.8870717593
5193,0.1265162037
5188,0.1262615741
5184,0.1260763889
928,0.9243634259
5176,0.1254976852
5167,0.1249652778
5161,0.1248726852
5159,0.124849537
2811,0.3771180556
5155,0.1247106481
2325,0.8850578704
2322,0.8849768519
5150,0.1244791667
5146,0.1242476852
2320,0.8846990741
2318,0.8845601852
5141,0.1240740741
2316,0.884525463
2806,0.3762847222
5138,0.1238078704
1349,0.8108564815
5128,0.1231365741
8222,0.9831365741
5124,0.122962963
5121,0.1227893519
5118,0.1227546296
5114,0.1221643519
5111,0.1219444444
5109,0.1219212963
2790,0.3741319444
5106,0.1216319444
2309,0.8820023148
5097,0.1214236111
2777,0.3733564815
5089,0.1210069444
8219,0.9810416667
2771,0.3729050926
8216,0.9806828704
2767,0.3727893519
8214,0.9805787037
2758,0.3725462963
2755,0.3723958333
1347,0.807650463
5076,0.1200115741
5072,0.1198842593
1057,0.8339467593
2303,0.88
5062,0.1194907407
5059,0.1193634259
5056,0.1192476852
8210,0.979212963
5048,0.1190046296
8207,0.9789583333
5043,0.1187962963
5040,0.1187847222
5029,0.1181365741
2301,0.878599537
8202,0.9782523148
1055,0.8322453704
5024,0.1177199074
2299,0.8778587963
2296,0.8777083333
5011,0.1171527778
5009,0.1171296296
2750,0.369375
2748,0.3693402778
5003,0.1169444444
4999,0.1166898148
983,0.471875
1343,0.8042013889
4995,0.1165625
2293,0.8767476852
4991,0.1162384259
8199,0.9762962963
4988,0.1161458333
1339,0.8036689815
1052,0.8300694444
4983,0.1155787037
2745,0.3677777778
4978,0.1152777778
4976,0.1152777778
2290,0.8757060185
979,0.4703935185
4973,0.1151388889
4968,0.1149884259
2287,0.8754513889
4966,0.1149537037
4961,0.1146875
4956,0.1144444444
8196,0.9742939815
4951,0.1137962963
4946,0.1135532407
4939,0.1132175926
8193,0.9731597222
2280,0.873287037
977,0.467650463
2739,0.3646759259
4930,0.112337963
924,0.9106134259
8190,0.9723958333
4925,0.1121412037
1047,0.8263657407
8187,0.9719328704
2277,0.8721064815
4912,0.1112731481
8184,0.9713773148
8182,0.9712962963
4906,0.1108217593
4904,0.110787037
8180,0.9709375
4902,0.1107523148
1045,0.8247916667
4893,0.1102662037
8176,0.9702777778
2271,0.8705208333
4888,0.1099189815
4882,0.1097569444
4878,0.1096759259
4874,0.1095717593
4868,0.1094560185
4866,0.1094328704
2267,0.8695717593
4861,0.1089930556
4858,0.1086226852
8173,0.9687615741
2264,0.8688310185
2260,0.8685416667
4852,0.107974537
4848,0.1077314815
2257,0.8681018519
4843,0.1073032407
4836,0.1066319444
2254,0.8669328704
